graph_type,n,sigma,amplitude,tau_empirical_mean,tau_spectral_mean,tau_relative_error_mean,pfa_empirical_mean,pfa_spectral_emp_mean,pfa_spectral_spec_mean,pd_mc_emp_mean,pd_spectral_emp_mean,pd_mc_spec_mean,pd_spectral_spec_mean,degree_cv_mean
random_regular,30,0.35,2.0,26.469848875454602,26.53078750562538,0.0023627441902859783,0.01,0.01028660101987725,0.009999999999811205,0.6938799999999999,0.6931348625287743,0.6904600000000001,0.6900694868879456,0.0
random_regular,30,0.35,3.0,26.617281147020133,26.533440260878848,-0.003025101568298845,0.01,0.009731048061378367,0.009999999999822162,0.9966200000000001,0.9969463810029808,0.99672,0.997078461169045,0.0
random_regular,60,0.15,1.0,8.355533998399824,8.328752939770414,-0.003133250752003726,0.01,0.00960578018372733,0.00999999999299348,0.7142000000000001,0.7130474370928748,0.7195400000000001,0.7188541165018404,0.0
random_regular,60,0.15,1.5,8.298608275527112,8.329646031207943,0.0037569395084584263,0.01,0.010577282403779364,0.009999999992482278,0.999,0.9989816493975135,0.9989800000000001,0.9989159957642766,0.0
random_regular,60,0.15,2.0,8.285943541010369,8.329360154427889,0.005282531529119872,0.01,0.010835010372131682,0.009999999992642006,1.0,0.9999999970548895,1.0,0.9999999966220956,0.0
random_regular,60,0.15,3.0,8.320368682157428,8.32908483006872,0.0010927545692694732,0.01,0.010199705157821726,0.009999999992801056,1.0,0.9999999999994362,1.0,0.9999999999994381,0.0
random_regular,60,0.25,1.0,23.162951792872178,23.135955197481103,-0.001149427799257808,0.01,0.009845945154221103,0.009999999992879493,0.1407,0.13723479468793523,0.14214,0.13853739897234188,0.0
random_regular,60,0.25,1.5,23.11675056392276,23.13659744975846,0.0009037271542642166,0.01,0.010170850913444385,0.009999999992762122,0.55244,0.5524080184913247,0.55146,0.5506323180684205,0.0
random_regular,60,0.25,2.0,23.04607905800605,23.137920909917256,0.004004555365846126,0.01,0.010617550987161939,0.009999999992481644,0.9408799999999999,0.9399699382450066,0.93814,0.937520955666106,0.0
random_regular,60,0.25,3.0,23.21311185657529,23.13755040126855,-0.0032238096032219435,0.01,0.009561979196666603,0.009999999992554399,1.0,0.9999984532874207,1.0,0.9999985888770062,0.0
random_regular,60,0.35,1.0,45.55525224106218,45.34720549855204,-0.004484747234342217,0.01,0.009427130749518297,0.00999999999281177,0.04662,0.04739653597990906,0.04898,0.049653954328325665,0.0
random_regular,60,0.35,1.5,45.33515559426458,45.34608357629134,0.0002545005522033762,0.01,0.010048866272827962,0.009999999992919973,0.1787,0.1767858083278497,0.1779,0.1764021205487963,0.0
random_regular,60,0.35,2.0,45.18582900268475,45.343308935500104,0.0035068102270650638,0.01,0.010543357688437805,0.009999999993184993,0.4835,0.4835200365884159,0.47524,0.47625263412758906,0.0
random_regular,60,0.35,3.0,45.50525240194582,45.34420245817739,-0.0034719503511238493,0.01,0.009556746365718382,0.00999999999311566,0.9732800000000001,0.9739025030670001,0.97456,0.9750891166659453,0.0
